Index,Ranking,Movie Title,Studio,Adjusted Gross,Unadjusted Gross,Year,Sentiment Score
175,176,Mission: Impossible II,Par.,344096300,215409889,2000,20.71476284
176,177,Rush Hour 2,NL,344041400,226164286,2001,52.52262807
177,178,Apollo 13,Uni.,343175100,173837933,1995,49.57411616
178,179,Patton,Fox,343010000,61749765,1970,55.50017677
179,180,Fatal Attraction,Par.,341651200,156645693,1987,50.98508658
180,181,Zootopia,BV,341268248,341268248,2016,57.68333333
181,182,Liar Liar,Uni.,340293100,181410615,1997,51.55794372
182,183,Robin Hood: Prince of Thieves,WB,338456700,165493908,1991,50.68541667
183,184,Beverly Hills Cop II,Par.,338377500,153665036,1987,54.1032074
184,185,Iron Man 2,Par.,338371200,312433331,2010,54.39077797
185,186,Up,BV,338147200,293004164,2009,54.77519691
186,187,Batman Returns,WB,337826700,162831698,1992,52.19833333
187,188,Signs,BV,337801700,227966634,2002,56.94365921
188,189,Superman II,WB,335064400,108185706,1981,48.62013889
189,190,The Twilight Saga: New Moon,Sum.,335015800,296623634,2009,59.00367965
190,191,"What's Up, Doc?",WB,334270600,66000000,1972,57.31969697
191,192,9 to 5,Fox,330606400,103290500,1980,57.39172845
192,193,Batman v Superman: Dawn of Justice,WB,330360194,330360194,2016,52.27787097
193,194,The Firm,Par.,329318700,158348367,1993,48.17777417
194,195,Suicide Squad,WB,325100054,325100054,2016,53.46597222
195,196,Who Framed Roger Rabbit,BV,327750600,156452370,1988,51.73377706
196,197,Skyfall,Sony,325819600,304360277,2012,52.70369408
197,198,The Hobbit: An Unexpected Journey,WB (NL),325748200,303003568,2012,54.91950577
198,199,The Twilight Saga: Eclipse,Sum.,325481500,300531751,2010,55.28588131
199,200,Porky's,Fox,324787900,111289673,1982,52.31162518
